school_name,postal_code,mainlevel_code,latitude,longitude
NORTHSHORE PRIMARY SCHOOL,828671,PRIMARY,1.418423220793498,103.905147201163
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,129957,MIXED LEVEL (S1-JC2),1.306006780962482,103.7701528077369
OASIS PRIMARY SCHOOL,828716,PRIMARY,1.405071847585848,103.9112001938345
OPERA ESTATE PRIMARY SCHOOL,458436,PRIMARY,1.319968763777494,103.9237526686315
ORCHID PARK SECONDARY SCHOOL,768454,SECONDARY (S1-S5),1.415320327796348,103.8378592413427
OUTRAM SECONDARY SCHOOL,549936,SECONDARY (S1-S5),1.397750204283463,103.8912304263114
PALM VIEW PRIMARY SCHOOL,544822,PRIMARY,1.383769230221237,103.891354675017
PARK VIEW PRIMARY SCHOOL,519524,PRIMARY,1.37801687647812,103.9392021806994
PASIR RIS CREST SECONDARY SCHOOL,518934,SECONDARY (S1-S5),1.372840601022477,103.9597282029184
PASIR RIS PRIMARY SCHOOL,518968,PRIMARY,1.372451327220885,103.9629226990302
PASIR RIS SECONDARY SCHOOL,529400,SECONDARY (S1-S5),1.354227326533977,103.9489626262035
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),536741,PRIMARY,1.350254560089406,103.8848468761118
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),536742,SECONDARY (S1-S5),1.35096755912522,103.8851200505879
PEI CHUN PUBLIC SCHOOL,319320,PRIMARY,1.336778643906726,103.8553413102114
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,597610,PRIMARY,1.338073021211523,103.7762509030946
PEI HWA SECONDARY SCHOOL,797702,SECONDARY (S1-S5),1.390375049932347,103.8784617453386
PEI TONG PRIMARY SCHOOL,129857,PRIMARY,1.31666529308968,103.7674389995323
PEICAI SECONDARY SCHOOL,556094,SECONDARY (S1-S5),1.359515832222158,103.8700107490543
PEIRCE SECONDARY SCHOOL,575566,SECONDARY (S1-S5),1.366659446538121,103.83021606804
PEIYING PRIMARY SCHOOL,768687,PRIMARY,1.417416275512517,103.8301432098749
